ISO_TIME,NATURE,LAT,LON,SID,SEASON,NUMBER,SUBBASIN,NAME,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_GUST,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR
8/16/17 6:00,DS,13.7,-45.8,2017228N14314,2017,61,,HARVEY,25,1013,hurdat_atl,main,1209,1157,O_____________,hurdat_atl,AL092017,13.7,-45.8, ,LO,25,1013,-3, , , , , , , , , , , , ,1013,150,80, , , , , , ,16,271
8/16/17 9:00,DS,13.713,-46.5999,2017228N14314,2017,61,,HARVEY, , , ,main,1157,1109,P_____________, ,AL092017,13.713,-46.5999, ,LO,25,1011,-3, , , , , , , , , , , , ,1013,150,80, , , , , , ,16,270
8/16/17 12:00,DS,13.7,-47.4,2017228N14314,2017,61,,HARVEY,25,1010,hurdat_atl,main,1109,1067,O_____________,hurdat_atl,AL092017,13.7,-47.4, ,LO,25,1010,-3, , , , , , , , , , , , ,1013,150,80, , , , , , ,16,268
8/16/17 15:00,DS,13.6497,-48.2001,2017228N14314,2017,61,,HARVEY, , , ,main,1057,1018,P_____________, ,AL092017,13.6497,-48.2001, ,LO,25,1009,-3, , , , , , , , , , , , ,1013,150,80, , , , , , ,16,266
8/16/17 18:00,DS,13.6,-49,2017228N14314,2017,61,,HARVEY,25,1009,hurdat_atl,main,1018,986,O_____________,hurdat_atl,AL092017,13.6,-49, ,LO,25,1009,-3, , , , , , , , , , , , ,1013,150,80, , , , , , ,16,268
8/16/17 21:00,DS,13.6074,-49.8148,2017228N14314,2017,61,,HARVEY, , , ,main,986,948,P_____________, ,AL092017,13.6074,-49.8148, ,LO,25,1009,-3, , , , , , , , , , , , ,1012,135,80, , , , , , ,16,270
8/17/17 0:00,DS,13.6,-50.6,2017228N14314,2017,61,,HARVEY,25,1010,hurdat_atl,main,948,908,O_____________,hurdat_atl,AL092017,13.6,-50.6, ,LO,25,1010,-3, , , , , , , , , , , , ,1012,120,80, , , , , , ,15,267
8/17/17 3:00,DS,13.5222,-51.315,2017228N14314,2017,61,,HARVEY, , , ,main,908,874,P_____________, ,AL092017,13.5222,-51.315, ,LO,25,1009,-3, , , , , , , , , , , , ,1012,120,75, , , , , , ,14,262
8/17/17 6:00,TS,13.4,-52,2017228N14314,2017,61,,HARVEY,25,1008,hurdat_atl,main,874,847,O_____________,hurdat_atl,AL092017,13.4,-52, ,TD,25,1008,-1, , , , , , , , , , , , ,1012,120,70, , , , , , ,14,258
8/17/17 9:00,TS,13.2422,-52.6851,2017228N14314,2017,61,,HARVEY, , , ,main,834,811,P_____________, ,AL092017,13.2422,-52.6851, ,TD,27,1008,-1, , , , , , , , , , , , ,1012,120,70, , , , , , ,14,258
8/17/17 12:00,TS,13.1,-53.4,2017228N14314,2017,61,,HARVEY,30,1008,hurdat_atl,main,811,775,O_____________,hurdat_atl,AL092017,13.1,-53.4, ,TD,30,1008,-1, , , , , , , , , , , , ,1012,120,70,40, , , , , ,15,262
8/17/17 15:00,TS,13.0274,-54.1849,2017228N14314,2017,61,,HARVEY, , , ,main,767,702,P_____________, ,AL092017,13.0274,-54.1849, ,TD,32,1006,-1, , , , , , , , , , , , ,1012,120,50, , , , , , ,16,266
8/17/17 18:00,TS,13,-55,2017228N14314,2017,61,,HARVEY,35,1004,hurdat_atl,main,702,631,O_____________,hurdat_atl,AL092017,13,-55, ,TS,35,1004,0,30, , ,30, , , , , , , , ,1012,120,30,45, , , , , ,16,269
